512
512
276
236
4.224609

0      ---             ---   ---   ---  
183    BeuuYqw         183   YES   1    
184    UBPPdHC         184   YES   1    
185    FpixBSi         185   YES   1    
186    VdmivNB         184   NO    3    
187    dZcCiQN         184   NO    4    
188    ipaLHqQ         176   NO    13   
189    VGvzkGR         189   YES   1    
190    KFHAaET         165   NO    26   
191    MujNgGj         191   YES   1    
192    PnUGzCH         192   YES   1    
193    YmueKmT         193   YES   1    
194    zgcvhYG         191   NO    4    
195    XeFyFPZ         193   NO    3    
196    KbLHAFB         196   YES   1    
197    YvtmRju         196   NO    2    
198    TMyxHEU         159   NO    40   
199    rvyFWWH         199   YES   1    
200    UGpHWga         200   YES   1    
201    kLxUudH         200   NO    2    
202    BfWZQhR         201   NO    2    
203    BkzYQrR         203   YES   1    
204    ySjXUYA         203   NO    2    
205    pfDBASV         200   NO    6    
206    BDvExTb         206   YES   1    
207    mYvpRTB         207   YES   1    
208    uWvXwGu         206   NO    3    
209    TByJALb         209   YES   1    
210    nbQuPVA         204   NO    7    
211    HXgvCiJ         211   YES   1    
212    tHnKJmg         211   NO    2    
213    YnFYXLE         213   YES   1    
214    RYyQcUz         212   NO    3    
215    QKtdmxK         215   YES   1    
216    qdYaBbZ         205   NO    12   
217    hgZXDPJ         213   NO    5    
218    RqmAbXt         214   NO    5    
219    YFTEMQN         219   YES   1    
220    QaLtJpN         220   YES   1    
221    MCZLEmM         220   NO    2    
222    qTwfHGg         219   NO    4    
223    WZXFeTm         223   YES   1    
224    bqyHYCP         220   NO    5    
225    xZmMwZK         225   YES   1    
226    wCMrTjx         226   YES   1    
227    HtbwqWi         211   NO    17   
228    tkbZPqi         228   YES   1    
229    Egiixiv         228   NO    2    
230    JYgBhHe         230   YES   1    
231    ERnuxfV         231   YES   1    
232    XLxvNLC         232   YES   1    
233    yMULkMU         233   YES   1    
234    izYuWcp         215   NO    20   
235    NWrVmti         235   YES   1    
236    ULqWVKH         235   NO    2    
237    XJJBxGX         235   NO    3    
238    KkjfjKf         235   NO    4    
239    uFUMKRG         239   YES   1    
240    ijrXviz         236   NO    5    
241    rnbpCik         241   YES   1    
242    MNDMQEL         241   NO    2    
243    fPWLmGT         243   YES   1    
244    gLyXFRy         244   YES   1    
245    HWYHZpM         244   NO    2    
246    uwRKuaL         246   YES   1    
247    WCiFafk         246   NO    2    
248    ULnMWWV         245   NO    4    
249    nCgGCri         242   NO    8    
250    TwPwLBy         250   YES   1    
251    WLZtBTh         250   NO    2    
252    YyPeBHQ         250   NO    3    
253    qZjjzuP         253   YES   1    
254    QMAeVrD         254   YES   1    
255    iQuKLRy         252   NO    4    
256    ddrFRfe         256   YES   1    
257    VhSXAij         251   NO    7    
258    xRgaKUW         248   NO    11   
259    WHJhJfN         230   NO    30   
260    iCPAaJg         185   NO    76   
261    kfAwCpC         261   YES   1    
262    wpMRgry         262   YES   1    
263    vMQWkRM         261   NO    3    
264    iVBJAzv         264   YES   1    
265    PDkxQki         264   NO    2    
266    nDdGgWW         265   NO    2    
267    JMJWDvR         267   YES   1    
268    yNnZDxU         267   NO    2    
269    ZewwPvw         269   YES   1    
270    ajTNjNJ         270   YES   1    
271    SgFHMVh         267   NO    5    
272    CUYYSNQ         267   NO    6    
273    SpZeUQU         273   YES   1    
274    CcATVgC         273   NO    2    
275    YLKrikH         273   NO    3    
276    SuycnKD         188   NO    89   
277    knMhEbA         194   NO    84   
278    VkPXkhh         278   YES   1    
279    CLDMXYu         279   YES   1    
280    WNkEenC         280   YES   1    
281    qzqRNTQ         279   NO    3    
282    KFFnUEx         278   NO    5    
283    pgFRWLz         282   NO    2    
284    yWAhpFa         278   NO    7    
285    JVSJtcB         280   NO    6    
286    tSdtHft         286   YES   1    
287    WUpLMLe         243   NO    45   
288    DDJqPBh         288   YES   1    
289    jPerYnC         289   YES   1    
290    FfXcWWC         289   NO    2    
291    UScxmkV         289   NO    3    
292    TThUFvd         292   YES   1    
293    adxfXMT         289   NO    5    
294    LCEfpHJ         252   NO    43   
295    iGSBNdg         295   YES   1    
296    zNxXYJE         295   NO    2    
297    heCFzTg         297   YES   1    
298    MtZDSxG         218   NO    81   
299    ---             ---   ---   ---  
300    VtCSWtF         300   YES   1    
301    yXnVYgx         300   NO    2    
302    XHuYEEq         302   YES   1    
303    kZNrWjX         300   NO    4    
304    ---             ---   ---   ---  
305    mrXmDrV         305   YES   1    
306    pzXNgtQ         305   NO    2    
307    ---             ---   ---   ---  
308    LQrhkTS         308   YES   1    
309    gXwZKyi         308   NO    2    
310    LdztcVX         310   YES   1    
311    VcSZjbw         311   YES   1    
312    CyXXRFh         311   NO    2    
313    NNQaazQ         313   YES   1    
